0	0	0.0282	0	0	0	0	0.0558	0.0188	0	0	0	-0.0043	0.0052	0.0278	0	0.0367	0	0.0278	0	0.00515	-0.0254	0	0	0.0576	0	0	0.0351	0	0.0378	0
0.1283	0.02089	0.0066	0	0	0	-0.06972	-0.0052	0.0128	0	0	0	0.0097	0.0482	-0.0015	0	-0.0084	0	-0.0015	0	0.0482	-0.0076	0	0	-0.0675	0	0	-0.0084	0.02089	-0.0083	-0.0537
0.1084	0.00842	0.0085	0	0	0	0.06013	-0.0122	0.0138	0	0	0	0.0248	0.017	-0.0014	0	-0.0287	0	-0.0014	0	0.01695	0.0397	0	0	0.1041	0	0	-0.0289	0.00842	-0.0285	0.0443
0.1423	0.02845	0.0266	0	0	0	0.09871	-0.0004	-0.0128	0	0	0	0.0069	0.0291	0.0199	0	0.0174	0	0.0199	0	0.02911	0.0479	0	0	0.0441	0	0	0.0176	0.02845	0.0174	0.0666
0.0461	0.0016	0.0207	0	0	0	0.03969	-0.0051	0.0049	0	0	0	0.0103	0.0288	0.0655	0	0.0088	0	0.0655	0	0.02881	0.0251	0	0	0.0216	0	0	0.0085	0.0016	0.0075	0.0356
0.2234	0.12348	-0.0304	0	0	0.0018	-0.00167	-0.0514	-0.0422	0	0	0	0.0369	-0.0146	-0.011	0	-0.0448	0	-0.011	0	-0.01462	0.0181	0	0	-0.0356	0	0	-0.046	0.12348	-0.0442	-0.0018
0.1821	0.03915	-0.0039	0	0	-0.0409	-0.00459	-0.0007	0.0001	0	0	0.0006	-0.008	0.0008	-0.0206	0	-0.0329	0	-0.0206	0	0.00078	-0.0301	0	0	0.0062	0	0	-0.0335	0.03915	-0.033	-0.008
0.1	0.0083	0.0254	0	0	0.0273	-0.00167	-0.0726	-0.0272	0	0	0.0295	-0.0034	0.0203	0.0257	0	0.0459	0	0.0257	0	0.02028	0.0027	0	0	-0.0297	0	0.03846	0.05	0.0083	0.0444	-0.0018
0.1286	-0.00674	0.0031	0	0	-0.0315	-0.00167	0.0283	-0.0022	0	0	-0.0091	0.0006	0.0326	-0.0729	0	0.0033	0	-0.0729	0	0.03261	0.0233	0	0	0.0122	0.0535	0.02517	0.0035	-0.00674	0.0033	-0.001
0.1472	0.01614	0.0302	0	0	0.0251	-0.00167	-0.0185	0.026	0	0	0.0226	0.0303	0.0345	0.035	0	0.0309	0	0.035	0	0.03449	0.063	0	0	0.017	0.0076	0.0201	0.0318	0	0.0308	-0.0017
0.0539	0.01648	0.0215	0	0	0.0248	-0.00542	0.0425	0.0188	0	0	0.0228	0.0145	0.0439	-0.0076	0	0.0054	0	-0.0076	0	0.04385	0.0273	0	0	0.0062	-0.023	0.02726	0.0058	0	0.0052	-0.0044
0.086	-0.00268	-0.0014	0	0	0.0379	-0.01577	0.0084	-0.0284	0	0	0.002	0.0274	0.0386	0.023	0	0.005	0	0.023	0	0.03856	0.0252	0	0	0.0309	0.0284	0.01567	0.0054	0.04241	0.005	-0.0114
